"index","date","country","confirmed","deaths","recovered"
502,"2020-01-24",Niger,0.0,0.0,0.0
503,"2020-01-24",Nigeria,0.0,0.0,0.0
504,"2020-01-24",North Macedonia,0.0,0.0,0.0
505,"2020-01-24",Norway,0.0,0.0,0.0
506,"2020-01-24",Oman,0.0,0.0,0.0
507,"2020-01-24",Pakistan,0.0,0.0,0.0
508,"2020-01-24",Panama,0.0,0.0,0.0
509,"2020-01-24",Papua New Guinea,0.0,0.0,0.0
510,"2020-01-24",Paraguay,0.0,0.0,0.0
511,"2020-01-24",Peru,0.0,0.0,0.0
512,"2020-01-24",Philippines,0.0,0.0,0.0
513,"2020-01-24",Poland,0.0,0.0,0.0
514,"2020-01-24",Portugal,0.0,0.0,0.0
515,"2020-01-24",Qatar,0.0,0.0,0.0
516,"2020-01-24",Romania,0.0,0.0,0.0
517,"2020-01-24",Russia,0.0,0.0,0.0
518,"2020-01-24",Rwanda,0.0,0.0,0.0
519,"2020-01-24",Saint Kitts and Nevis,0.0,0.0,0.0
520,"2020-01-24",Saint Lucia,0.0,0.0,0.0
521,"2020-01-24",Saint Vincent and the Grenadines,0.0,0.0,0.0
522,"2020-01-24",Samoa,0.0,0.0,0.0
523,"2020-01-24",San Marino,0.0,0.0,0.0
524,"2020-01-24",Sao Tome and Principe,0.0,0.0,0.0
525,"2020-01-24",Saudi Arabia,0.0,0.0,0.0
526,"2020-01-24",Senegal,0.0,0.0,0.0
527,"2020-01-24",Serbia,0.0,0.0,0.0
528,"2020-01-24",Seychelles,0.0,0.0,0.0
529,"2020-01-24",Sierra Leone,0.0,0.0,0.0
530,"2020-01-24",Singapore,2.0,0.0,0.0
531,"2020-01-24",Slovakia,0.0,0.0,0.0
532,"2020-01-24",Slovenia,0.0,0.0,0.0
533,"2020-01-24",Solomon Islands,0.0,0.0,0.0
534,"2020-01-24",Somalia,0.0,0.0,0.0
535,"2020-01-24",South Africa,0.0,0.0,0.0
536,"2020-01-24",South Sudan,0.0,0.0,0.0
537,"2020-01-24",Spain,0.0,0.0,0.0
538,"2020-01-24",Sri Lanka,0.0,0.0,0.0
539,"2020-01-24",Sudan,0.0,0.0,0.0
540,"2020-01-24",Suriname,0.0,0.0,0.0
541,"2020-01-24",Sweden,0.0,0.0,0.0
542,"2020-01-24",Switzerland,0.0,0.0,0.0
543,"2020-01-24",Syria,0.0,0.0,0.0
544,"2020-01-24",Taiwan*,2.0,0.0,0.0
545,"2020-01-24",Tajikistan,0.0,0.0,0.0
546,"2020-01-24",Tanzania,0.0,0.0,0.0
547,"2020-01-24",Thailand,1.0,0.0,1.0
548,"2020-01-24",Timor-Leste,0.0,0.0,0.0
549,"2020-01-24",Togo,0.0,0.0,0.0
550,"2020-01-24",Trinidad and Tobago,0.0,0.0,0.0
551,"2020-01-24",Tunisia,0.0,0.0,0.0
552,"2020-01-24",Turkey,0.0,0.0,0.0
553,"2020-01-24",US,1.0,0.0,0.0
554,"2020-01-24",Uganda,0.0,0.0,0.0
555,"2020-01-24",Ukraine,0.0,0.0,0.0
556,"2020-01-24",United Arab Emirates,0.0,0.0,0.0
557,"2020-01-24",United Kingdom,0.0,0.0,0.0
558,"2020-01-24",Uruguay,0.0,0.0,0.0
